,0,1,2,3,4,5,6,7,8,9
0,"-60,56575391298584","-58,55299495722452","-57,09547888395031","-56,23055388701711","-55,93616378456392","-56,164001865660865","-56,83829149344202","-57,79124376612987","-58,85226400786081","-59,83719808619401"
1,"-58,23710956565713","-56,522474423220615","-55,33618941680137","-54,70917662163929","-54,62197227879932","-55,02886107491194","-55,855784505535745","-56,95275563041173","-58,15723810695019","-59,28553853841011"
2,"-56,01056153217719","-54,343684765392695","-53,1919278866465","-52,5867266384178","-52,51161011428864","-52,92401520896153","-53,755421226343366","-54,860528143823636","-56,07975497933642","-57,237497880618946"
3,"-53,019940207132336","-51,505141526913256","-50,48296958202212","-49,98367639386284","-49,981239238974055","-50,422537426999185","-51,24512616576676","-52,322633697209994","-53,501501644723824","-54,616704397664265"
4,"-49,43148590961847","-48,23013398141328","-47,48900591337856","-47,22439113465504","-47,3978712186635","-47,946556661030456","-48,81585191132815","-49,914744967310035","-51,10705219764559","-52,23988474621043"
5,"-46,797830554482985","-45,8888931387262","-45,405251663169","-45,33394320383317","-45,62990370519102","-46,230981471017124","-47,08220630303096","-48,12074848583576","-49,233856606231925","-50,28822785324981"
6,"-49,511346956019764","-48,610892920266856","-48,12069272016822","-48,04174610305529","-48,32402115619022","-48,87940309663287","-49,660823842179425","-50,632119440033854","-51,68534375475549","-52,69066441772335"
7,"-52,815464996200696","-51,811126239354316","-51,23044798805193","-51,08893982147364","-51,312344679441146","-51,757271827184596","-52,37662100621972","-53,17203118380776","-54,039856248860886","-54,84277712464704"
8,"-56,275894739233145","-54,90321469956236","-53,98273439033637","-53,52968672151513","-53,46081098317702","-53,61538387361154","-53,94685403808858","-54,47086312383496","-55,091986441294026","-55,67403415279253"
9,"-62,50835516973979","-60,9035283353675","-59,77293673587792","-59,13127991715476","-58,88913878361443","-58,865485901700126","-59,01114269597005","-59,35450755016653","-59,80766094887189","-60,24131751717668"
10,"-65,37407957341199","-63,62398352188171","-62,366672898478214","-61,66197244427916","-61,41913419304542","-61,41067572539389","-61,59847721037413","-62,028059113550114","-62,59974998012228","-63,17107564274214"
11,"-67,52044525243686","-65,66114359883731","-64,30756449045859","-63,536666190669806","-63,2553346499984","-63,21523673192446","-63,39206681094523","-63,84759261996196","-64,48555808994328","-65,16391682245099"
12,"-66,83586827234603","-64,99205934907764","-63,68081610907697","-63,004067846172624","-62,87337455912726","-63,0293918608475","-63,4528020036654","-64,19891282021638","-65,15431477454752","-66,17339932793772"
13,"-61,995204581604526","-60,52039206372072","-59,54991795172921","-59,19816415901362","-59,38423190745274","-59,85327990279904","-60,59368973239467","-61,668364564200516","-62,96186465110276","-64,3286180589478"
14,"-55,33402182721541","-54,18930220353025","-53,51883468594437","-53,46694821148799","-53,96401299006787","-54,758720297471626","-55,84580421672547","-57,29139710915119","-58,962440240562145","-60,70056700550215"
15,"-43,03327872601134","-42,094869323054034","-41,57248920091221","-41,61867263702551","-42,17877678953737","-43,024382352445734","-44,160995944503156","-45,66697753385172","-47,4161443628266","-49,26491986852275"
16,"-29,022533370400147","-28,311398375982822","-27,956126325781312","-28,102815054296457","-28,702411281756937","-29,55296872224669","-30,66862831438446","-32,14027401432902","-33,85918147365367","-35,69942881187752"
17,"-17,232514850872803","-16,727153367201314","-16,518155459515988","-16,713106354868955","-17,272016605755965","-18,04436509349799","-19,043176711288876","-20,36742657216175","-21,935827750021232","-23,654009201853803"
18,"-12,742553611581865","-12,133393317711441","-11,772149452579624","-11,750059377248053","-12,050456638316046","-12,580261933344264","-13,361352910124417","-14,485134060386693","-15,887238890239509","-17,505669644750956"
19,"-9,369664900849035","-8,638321472600225","-8,121791085556035","-7,889128546894421","-7,929581240053356","-8,179560143272987","-8,666024443078534","-9,479662298182436","-10,582743431645536","-11,945915179318323"
20,"-4,898519184840237","-3,820943768276698","-2,9324681786757063","-2,252544105156206","-1,7851010188627323","-1,5243956928214715","-1,5079692158617242","-1,8258169289963742","-2,486637662633184","-3,50991297721995"
21,"-7,562512172821183","-6,287315142287303","-5,1898481898801325","-4,237391479276241","-3,438074297392328","-2,8345578477164475","-2,46031077510437","-2,3952564430457253","-2,67808495575521","-3,3655819005605063"
22,"-8,324097537136248","-6,840220860214814","-5,51555560999053","-4,315538781761888","-3,2577623044750608","-2,4039020514616536","-1,7929336324457672","-1,4941822593069785","-1,5537720269733328","-2,0443343939548857"
